date,open,high,low,close
2021-08-23,4450.29,4489.88,4450.29,4479.53
2021-08-24,4484.4,4492.81,4482.28,4486.23
2021-08-25,4490.45,4501.71,4485.66,4496.19
2021-08-26,4493.75,4495.9,4468.99,4470
2021-08-27,4474.1,4513.33,4474.1,4509.37
2021-08-30,4513.76,4537.36,4513.76,4528.79
2021-08-31,4529.75,4531.39,4515.8,4522.68
2021-09-01,4528.8,4537.11,4522.02,4524.09
2021-09-02,4534.48,4545.85,4524.66,4536.95
2021-09-03,4530.63,4541.45,4521.3,4535.43
2021-09-07,4535.38,4535.38,4513,4520.03
2021-09-08,4518.09,4521.79,4493.95,4514.07
2021-09-09,4513.02,4529.9,4492.07,4493.28
2021-09-10,4506.92,4520.47,4457.66,4458.58
2021-09-13,4474.81,4492.99,4445.7,4468.73
2021-09-14,4479.33,4485.65,4435.46,4443.05
2021-09-15,4447.49,4486.87,4438.8,4480.7
2021-09-16,4477.09,4485.87,4443.8,4473.75
2021-09-17,4469.74,4471.52,4427.76,4432.99
2021-09-20,4402.95,4402.95,4305.91,4357.73
2021-09-21,4374.45,4394.87,4347.96,4354.19
2021-09-22,4367.43,4416.75,4367.43,4395.64
2021-09-23,4406.75,4465.4,4406.75,4448.98
2021-09-24,4438.04,4463.12,4431.06,4455.48
2021-09-27,4442.12,4457.3,4436.19,4443.11
2021-09-28,4419.54,4419.54,4346.33,4352.63
2021-09-29,4362.41,4385.57,4355.08,4359.46
2021-09-30,4370.67,4382.5,4306.24,4307.54
2021-10-01,4317.16,4375.19,4288.52,4357.04
2021-10-04,4348.84,4355.33,4278.94,4300.46
2021-10-05,4309.87,4369.23,4309.87,4345.72
2021-10-06,4319.57,4365.57,4290.49,4363.55
2021-10-07,4383.73,4429.97,4383.73,4399.76
2021-10-08,4406.51,4411.92,4386.22,4391.34
2021-10-11,4385.44,4415.88,4360.59,4361.19
2021-10-12,4368.31,4374.89,4342.09,4350.65
2021-10-13,4358.01,4372.87,4329.92,4363.8
2021-10-14,4386.75,4439.73,4386.75,4438.26
2021-10-15,4447.69,4475.82,4447.69,4471.37
2021-10-18,4463.72,4488.75,4447.47,4486.46
2021-10-19,4497.34,4520.4,4496.41,4519.63
2021-10-20,4524.42,4540.87,4524.4,4536.19
2021-10-21,4532.24,4551.44,4526.89,4549.78
2021-10-22,4546.12,4559.67,4524,4544.9
2021-10-25,4553.69,4572.62,4537.36,4566.48
2021-10-26,4578.69,4598.53,4569.17,4574.79
2021-10-27,4580.22,4584.31,4551.66,4551.68
2021-10-28,4562.84,4597.55,4562.84,4596.42
2021-10-29,4572.87,4608.08,4567.59,4605.38
2021-11-01,4610.62,4620.34,4595.06,4613.67
2021-11-02,4613.34,4635.15,4613.34,4630.65
2021-11-03,4630.65,4663.46,4621.19,4660.57
2021-11-04,4662.93,4683,4662.76,4680.06
2021-11-05,4699.26,4718.5,4681.32,4697.53
2021-11-08,4701.48,4714.92,4694.39,4701.7
2021-11-09,4707.25,4708.53,4670.87,4685.25
2021-11-10,4670.26,4684.85,4630.86,4646.71
2021-11-11,4659.39,4663.56,4648.31,4649.27
2021-11-12,4655.24,4688.47,4650.77,4682.85
2021-11-15,4689.3,4697.42,4672.86,4682.8
2021-11-16,4679.42,4714.95,4679.42,4700.9
2021-11-17,4701.5,4701.5,4684.41,4688.67
2021-11-18,4700.72,4708.8,4674.73,4704.54
2021-11-19,4708.44,4717.75,4694.22,4697.96
2021-11-22,4712,4743.83,4682.17,4682.94
2021-11-23,4678.48,4699.39,4652.66,4690.7
2021-11-24,4675.78,4702.87,4660.01,4701.46
2021-11-26,4664.63,4664.63,4585.43,4594.62
2021-11-29,4628.75,4672.95,4625.26,4655.27
2021-11-30,4640.25,4645.16,4560.63,4567
2021-12-01,4602.82,4652.94,4510.27,4513.04
2021-12-02,4504.73,4595.46,4504.73,4577.1
2021-12-03,4589.49,4607.49,4495.12,4538.43
2021-12-06,4548.37,4612.6,4540.77,4591.67
2021-12-07,4631.97,4694.04,4631.97,4686.75
2021-12-08,4690.86,4705.06,4674.52,4701.21
2021-12-09,4691,4695.26,4665.98,4667.45
2021-12-10,4687.64,4713.27,4670.24,4712.02
2021-12-13,4710.3,4710.3,4668.32,4668.97
